cluster,Artificial Intelligence,Business,Cybersecurity,Data Science,Design,Digital Marketing,Finance,Machine Learning,Marketing,Programming,Project Management,Web Development
0,0.1322,0.045,0.0666,0.1127,0.0509,0.0966,0.0958,0.0438,0.0072,0.1696,0.0953,0.0843
1,0.0868,0.0799,0.078,0.0956,0.0679,0.0835,0.0856,0.0808,0.0805,0.0812,0.0864,0.0937
2,0.0246,0.1476,0.0576,0.0533,0.1787,0.076,0.0559,0.099,0.1133,0.0165,0.0519,0.1257
3,0.0889,0.0518,0.173,0.1281,0.0052,0.0628,0.1101,0.1237,0.1005,0.0432,0.1094,0.0031
