cluster,total_courses,diversity_score,avg_courses_per_category,activity_span_days,enrollment_frequency,avg_course_rating,category_entropy,top_category_share,avg_spend,total_spend,diversity_ratio,learning_depth_index,free_ratio,recency_days,first_interaction_days,n_teachers,teacher_loyalty,avg_teacher_rating,age
0,-0.4607,-0.4495,-0.416,-0.4132,0.3185,0.1347,-0.4322,0.3652,0.1095,-0.3425,0.4521,-1.3023,0.0587,0.2406,-0.2392,-0.2448,-0.4738,-0.3214,0.0459
1,1.8271,1.7587,1.6928,1.5999,-1.1581,-0.0097,1.6392,-1.3341,0.0389,1.5003,-1.8393,-0.0437,-0.0617,-0.9116,0.9461,0.7887,1.8948,1.3268,-0.0158
2,-0.4157,-0.3845,-0.4129,-0.2968,0.0906,-0.2667,-0.3001,0.1686,-0.0861,-0.3712,0.4484,1.0862,-0.1054,0.1631,-0.1815,-0.0323,-0.4544,-0.2837,-0.0554
3,-0.4852,-0.4848,-0.4181,-0.523,0.5581,0.2701,-0.5305,0.5389,-0.0426,-0.397,0.4545,-0.0057,0.1563,0.301,-0.3063,-0.3914,-0.4701,-0.4001,0.0455
