cluster,n_learners,share,age_mean,age_median,pct_female,total_courses_mean,diversity_score_mean,avg_courses_per_category_mean,enrollment_frequency_mean,activity_span_days_mean,avg_course_rating_mean,avg_spend_mean,diversity_ratio_mean,learning_depth_index_mean,free_ratio_mean,category_entropy_mean,top_category_share_mean,recency_days_mean,n_teachers_mean,teacher_loyalty_mean,avg_teacher_rating_mean,top_categories,level_mix,category_profile
0,528,0.1992,24.83,25.0,50.95,9.5947,6.8087,1.4593,0.0436,225.7538,3.119,94.2244,0.705,0.9828,0.6245,2.5066,0.3014,31.5966,2.0379,0.7263,4.6346,"Artificial Intelligence 17%, Business 12%, Data Science 12%","Advanced 45%, Beginner 39%, Intermediate 16%","data science 9%, web development 9%, finance 9%"
1,587,0.2215,24.64,25.0,49.74,1.3288,1.3288,1.0,0.7557,27.9387,2.936,270.4334,1.0,0.9692,0.097,0.2995,0.8586,126.7172,1.3169,0.0051,2.5941,"Artificial Intelligence 26%, Business 19%, Project Management 14%","Advanced 38%, Beginner 37%, Intermediate 25%","artificial intelligence 19%, project management 17%, business 16%"
2,1345,0.5075,25.17,25.0,51.08,1.4007,1.4007,1.0,0.7295,31.2342,3.1663,10.3841,1.0,1.0437,0.9032,0.3489,0.8399,126.3569,1.3888,0.0044,2.7575,"Cybersecurity 14%, Design 13%, Machine Learning 12%","Advanced 43%, Beginner 31%, Intermediate 26%","machine learning 13%, design 12%, cybersecurity 11%"
3,190,0.0717,24.63,24.5,50.53,1.3789,1.3632,1.0132,0.6581,37.2684,3.5271,68.448,0.993,0.9307,0.6509,0.3584,0.8228,135.4211,1.3684,0.0053,2.8109,"Digital Marketing 81%, Artificial Intelligence 6%, Data Science 5%","Beginner 43%, Advanced 39%, Intermediate 18%","digital marketing 82%, artificial intelligence 3%, data science 2%"
